ID;NAME;EVA_ID
BRH;Berlin-Rummelsburg;8089084
BSLS;Berlin-Schlachtensee;8089085
BSGR;Berlin-Schöneberg;8089474
BFHS;Berlin-Schönefeld Flughafen;8010109
BSWP;Berlin-Schöneweide;8010041
BSW;Berlin-Schöneweide (S);8089168
BSNH;Berlin-Schönholz;8089087
BSZF;Berlin-Schulzendorf;8089000
BSPD;Berlin-Spandau;8010404
BSPF;Berlin-Spindlersfeld;8089088
BSTAB;Berlin-Staaken;8013021
BSRW;Berlin-Stresow;8089053
BTG;Berlin-Tegel (S);8089089
BTHF;Berlin-Tempelhof;8089090
BTGN;Berlin-Tiergarten;8089091
BWAI;Berlin-Waidmannslust;8089092
BWAB;Berlin-Wartenberg;8089093
BWED;Berlin-Wedding;8089131
BWIG;Berlin-Wilhelmshagen;8089094
BWM;Berlin-Wilhelmsruh;8089095
BWIN;Berlin-Wittenau (Wilhelmsruher Damm);8089096
BWHH;Berlin-Wuhlheide;8089097
BZD;Berlin-Zehlendorf;8089098
RBAH;Bermatingen-Ahausen;8000909
MBN;Bernau a Chiemsee;8000911
BBRN;Bernau(b Berlin);8013470
BBRF;Bernau-Friedenstal;8089099
LBG;Bernburg;8010043
LBGF;Bernburg-Friedenshall;8011168
LBGS;Bernburg-Strenzfeld;8011169
LBGW;Bernburg-Waldau;8011170
HBER;Berne;8000913
MBER;Bernried;8000918
UBE;Bernterode;8011172
HBBR;Bersenbrück;8000919
DBF;Berthelsdorf(Erzgeb);8010044
DBFO;Berthelsdorf(Erzgebirge) Ort;8017219
DBTS;Bertsdorf;8010045
FBEZ;Berzhahn;8000921
SBS;Besch;8000923
TBE;Besigheim;8000925
SBES;Besseringen;8000926
BBST;Bestensee;8011173
EBWG;Bestwig;8000927
NBMS;Bettmannsäge;8000928
EBZ;Betzdorf(Sieg);8000034
LBEU;Beucha;8010046
WBEU;Beuchow;8013539
RBEU;Beuggen;8000932
LBEN;Beuna(Geiseltal);8011177
UBEU;Beuren;8011178
TBEU;Beuron;8000933
TBTB;Beutelsbach;8000934
BBE;Beutersitz;8011179
SBX;Bexbach;8000941
LBYD;Beyendorf;8011181
MBID;Bibelöd;8000946
RBI;Biberach(Baden);8000942
TBI;Biberach(Riß);8000943
TBIB;Biberach(Riß) Süd;8000944
FBL;Biblis;8000503
UBA;Bibra;8011183
MBIC;Bichl;8000945
FBI;Bickenbach(Bergstr);8000948
FBBM;Biebesheim;8000951
FBIK;Biedenkopf;8000952
FBIZ;Biedenkopf-Schulzentrum;8000954
LBZ;Biederitz;8010047
EBIL;Bielefeld Hbf;8000036
EBIO;Bielefeld Ost;8000953
EBIS;Bielefeld-Senne;8000956
LBF;Biendorf;8011184
ABIL;Bienenbüttel;8000955
DBIE;Bienenmühle;8011185
SBI;Bierbach;8000357
HROE;Bieren-Rödinghausen;8000957
TBIE;Bieringen;8000959
EBID;Biersdorf(Westerw);8007076
EBDO;Biersdorf-Ort(Ww);8007113
WBT;Biesenthal;8011188
MBIH;Biessenhofen;8000962
RBIE;Bietigheim(Baden);8000963
TBM;Bietigheim-Bissingen;8000038
RBGN;Bietingen;8000965
EBIG;Bigge;8000966
SBDS;Bildstock;8000967
TBIL;Bilfingen;8000968
MBIN;Billenhausen;8000969
EBB;Billerbeck;8000970
RBIN;Binau;8000973
LBIF;Bindfelde;8011190
NBI;Bindlach;8000974
FBGK;Bingen(Rhein) Hbf;8000039
FBGN;Bingen(Rhein) Stadt;8000976
FBGG;Bingen-Gaulsheim;8000975
EBIN;Binolen;8000978
KBIF;Binsfeld;8071257
WBIO;Binz LB;8011193
RBZN;Binzen;8070323
RBCH;Birach;8007102
EBKB;Birkelbach;8000983
